email_id,sender_domain,timestamp,Type,Area,Sub Area,Child Sub Area,email_body
email_739,anothercorp.net,6/16/21 8:52,Service request,CASA,Request for new passbook,Saving Account,"Subject: Service request: Help with Request for new passbook – Saving Account (CASA)

Hi team,

This is regarding my service request for Request for new passbook (CASA).
I don't have the exact date/time right now.
Not sure what else you need.


Thanks"
email_983,business.org,10/29/21 23:24,Service Request,NRI Customers,KYC updation,Email ID Update,"Subject: Service Request: Help with KYC updation – Email ID Update (NRI Customers)

To whom it may concern,

I need help with KYC updation in NRI Customers (specifically: Email ID Update).
I was told this would be fixed, but I haven't heard back.
Let me know if you need anything else.


Best"
email_525,client.com,1/8/21 12:07,Service Request,Credit Cards,Others,N/A,"Subject: Question about Others in Credit Cards

To whom it may concern,

I'm reaching out about Others under Credit Cards.
I got an error and couldn't complete what I was doing.
Not sure what else you need.


Best"
email_262,client.com,10/28/21 5:49,Complaint,Suggessions/Issues,Amount sent to Union Bank of India account,Chargeback raised by sender Bank,"Subject: Need assistance: Amount sent to Union Bank of India account – Chargeback raised by sender Bank

This is regarding my complaint for Amount sent to Union Bank of India account (Suggessions/Issues).
It started a few days ago and hasn't been resolved.
Let me know if you need anything else.


Thanks"
email_662,client.com,5/25/21 14:25,Service Request,Credit Cards,Hotlisting of Card,N/A,"Subject: Issue with Hotlisting of Card (Service Request)

Hi there,

I need help with Hotlisting of Card in Credit Cards.
I don't have the exact date/time right now.
Let me know if you need anything else.


— Sent from my phone"
email_433,client.com,6/5/21 21:48,Query,NRI Customers,Fixed Deposit Closure,N/A,"Subject: Question about Fixed Deposit Closure in NRI Customers

Hey,

This is regarding my query for Fixed Deposit Closure (NRI Customers).
It started a few days ago and hasn't been resolved.


— Sent from my phone"
email_568,business.org,5/12/21 23:03,Service Request,Credit Cards,Card conversion,Convert card to Rupay Select or Visa Signature,"Subject: Service Request: Help with Card conversion – Convert card to Rupay Select or Visa Signature (Credit Cards)

Hey,

I'm following up on Card conversion (specifically: Convert card to Rupay Select or Visa Signature).
I tried the usual steps but the problem persists.
Need this fixed now.


Cheers"
email_373,business.org,12/17/21 2:40,Complaint,Union Voice Assistant (UVA),Unauthorized Access of UVA,Request to Disable Skill,"Subject: Complaint: Help with Unauthorized Access of UVA – Request to Disable Skill (Union Voice Assistant (UVA))

Hello,

I'm following up on Unauthorized Access of UVA (specifically: Request to Disable Skill).
I don't have the exact date/time right now.
ASAP please.
Not sure what else you need.


Regards"
email_41,anothercorp.net,11/9/21 15:21,Query,NRI Customers,Fixed Deposit Closure,N/A,"Subject: Query: Help with Fixed Deposit Closure (NRI Customers)

To whom it may concern,

This is regarding my query for Fixed Deposit Closure (NRI Customers).
Can you clarify the process and timelines?
Not sure what else you need.


— Sent from my phone"
email_885,anothercorp.net,1/23/21 10:32,Type,Area,Sub Area,Child Sub Area,"Subject: Issue with Sub Area – Child Sub Area (Type)

I need help with Sub Area in Area (specifically: Child Sub Area).
It started a few days ago and hasn't been resolved.
I already shared some details before.


Cheers"
